code,label,lng,lat,gend,northing,population,households,populationDensity,lgb1,lgb2,lgb3,lgb4,lgb5,lgb6,lgb7
E07000008,Cambridge,0.1315,52.1988,11330,257755,145676,52472,3579.2,17.70779556,10.75179448,5.595157275,3.553299492,3.038944836,1.618818768,1.640039587
E07000009,East Cambridgeshire,0.2952,52.3429,30,274112,87762,37203,134.8,7.162576687,5.459135374,3.334831461,2.009505545,1.403606618,0.847079804,0.302233903
E07000010,Fenland,0.0611,52.5627,575,298084,102457,44083,187.5,6.148130393,5.37525355,3.402646503,1.936138653,1.419570333,0.726832223,0.374181478
E07000011,Huntingdonshire,-0.2206,52.3739,9320,276573,180832,76880,199.6,7.267258865,5.59563448,3.254358516,2.109687084,1.265712291,0.613827267,0.301560246
E07000012,South Cambridgeshire,0.0815,52.1731,30,254795,162116,66996,179.8,8.380559849,5.791034362,3.178949322,2.18348459,1.362924282,0.668137001,0.335619437
E07000026,Allerdale,-3.2469,54.7114,750,535836,96156,43973,77.4,5.772063747,4.417916539,2.689161554,1.69769989,1.345420534,0.701667492,0.216517167
E07000027,Barrow-in-Furness,-3.213,54.1257,11675,470657,67404,31259,865.3,6.907509617,4.955008998,3.05364897,1.866324507,1.353921898,0.558507015,0.23482053
E07000028,Carlisle,-2.8083,54.971,85,564335,110025,50663,106,7.771416455,5.764507215,3.512313282,1.89033189,1.114522157,0.879522071,0.495407163
E07000029,Copeland,-3.374,54.4142,475,502927,67063,30789,91.7,6.111007288,5.245856732,2.536231884,1.982937514,1.172146618,0.506110357,0.179621163
E07000030,Eden,-2.6219,54.6129,15740,524354,54734,24613,25.5,5.580468361,4.726122207,2.959028832,2.071126857,1.092007435,0.6525059,0.39209001
E07000031,South Lakeland,-2.8508,54.2925,80,488871,104449,47657,68,6.912503304,5.106294289,3.270935961,2.331243084,1.457391968,0.690870638,0.386100386
E07000032,Amber Valley,-1.467,53.0295,660,348157,126205,56277,475.6,6.831861958,5.241015402,3.088213922,2.19773914,1.4589169,0.638135534,0.320998663
E07000033,Bolsover,-1.2772,53.2152,15905,368917,80277,35262,500.7,6.136431338,5.251706063,3.022442765,2.202803568,1.467130631,0.721624266,0.260177533
E07000034,Chesterfield,-1.4011,53.2554,50,373318,103569,48058,1568.4,7.532314924,6.325034244,3.424775707,2.435793657,1.543187826,0.724702514,0.28486907
E07000035,Derbyshire Dales,-1.6943,53.1287,575,359062,71536,32283,90.3,6.126914661,4.263030721,2.702702703,2.172601086,1.727039235,0.861457383,0.415726333
E07000036,Erewash,-1.3472,52.9352,16625,337734,112902,50334,1029.9,7.508675991,5.923193751,3.491989423,2.174477476,1.226074518,0.699300699,0.287976962
E07000037,High Peak,-1.8738,53.3733,105,386271,90930,40772,168.7,7.530672684,6.128596655,3.946314103,2.227525855,1.604397237,0.928523068,0.380517504
E07000038,North East Derbyshire,-1.4477,53.2261,685,370027,102000,45987,370.1,6.012939236,4.678147159,2.662556054,1.910354568,1.268424036,0.529992773,0.167410714
E07000039,South Derbyshire,-1.5598,52.8308,16595,326002,107203,45240,317.1,5.411791179,4.746977161,3.145235893,1.838651655,1.108946501,0.675997334,0.258131131
E07000040,East Devon,-3.2236,50.7641,40,96775,150821,66788,185.2,6.919705306,5.187769037,3.067569435,2.115500852,1.563585823,0.927905169,0.508794883
E07000041,Exeter,-3.5102,50.7218,695,92447,130712,52554,2780,11.94866006,7.932301391,4.950030183,3.29218107,2.601178782,1.376102335,0.452927855
E07000042,Mid Devon,-3.5562,50.8758,13640,109637,82848,35633,90.8,6.875097216,5.257960997,3.249179214,2.270158252,1.540114613,0.830343414,0.289995167
E07000043,North Devon,-3.9146,51.0697,30,131782,98608,43197,90.8,6.817876795,4.951000408,2.99938788,2.245545521,1.647470477,0.769482646,0.35984499
E07000044,South Hams,-3.8234,50.3735,685,54205,88628,39335,100,6.968641115,5.790527018,3.625772706,2.626097981,1.824628795,0.917358009,0.456230396
E07000045,Teignbridge,-3.6569,50.6063,8930,79821,134805,59838,200.1,7.296137339,5.726735138,3.54767184,2.425506555,1.571332262,1.040085456,0.399767877
E07000046,Torridge,-4.2485,50.8859,15,112003,68122,30457,69.2,7.295780503,4.536553525,3.494094488,2.654240887,1.679434296,0.898574675,0.298120544
E07000047,West Devon,-4.046,50.6559,660,86000,57093,24818,49.2,6.100928948,5.306380291,3.322574521,2.55839822,1.810265811,1.24137931,0.441371193
E07000061,Eastbourne,0.2655,50.7753,18110,99749,101685,45610,2302.6,8.5941149,6.776707932,4.693010218,4.317718941,2.981246995,2.283305524,1.081275906
E07000062,Hastings,0.5703,50.8695,170,110924,91006,40453,3053.9,9.223234934,7.960907107,5.543237251,5.016302985,4.058441558,2.387239886,0.946996466
